내용
[판매] 각 광고 상품 교육 및 교육 자료는 어디서 확인 할 수 있나요?
[판매] 광고 상품별 소개서와 가이드는 어디서 볼 수 있나요?
[판매] [포커스클릭] 포커스클릭 과금 방식과 광고비용 책정 방식은 무엇인가요?
[판매] [포커스클릭] 애드오피스란 무엇인가요?
[판매] [포커스클릭] 포커스클릭 광고란?
[판매] 광고용어들을 쉽게 알 수 있을까요?
[판매] [포커스클릭] 애드오피스에 가입하는 방법을 알려주세요.
[판매] [포커스클릭] 휴면회원도 애드오피스에 로그인 가능한가요?
"[판매] [포커스클릭] 회원 탈퇴 시, 동일한 회원 ID로 재가입은 가능한가요? 	"
"[판매] [포커스클릭] 셀러회원 탈퇴 시, 애드오피스 회원도 자동 탈퇴 되나요? 	"
[판매] [포커스클릭] 애드오피스 회원을 탈퇴 하고 싶습니다. 직접 진행이 가능한가요?
[판매] [포커스클릭] 글로벌셀러회원도 애드오피스 회원가입이 가능한가요?
[판매] [포커스클릭] 직매입 셀러회원 아이디로 회원가입이 가능한가요?
"[판매] [포커스클릭] 셀러회원이 아닐 경우, 회원가입이 불가한가요?"
"[판매] [포커스클릭] 간편 가입 진행 시 ""이미 연동된 광고주 아이디가 있습니다."" 라는 메시지가 나옵니다."
[판매] [포커스클릭] 개인 셀러회원 아이디로 회원가입이 가능한가요?
[판매] [포커스클릭] 포커스 클릭 광고를 진행하려 하는데 회원가입이 필요한가요?
[판매] [포커스클릭] 연동을 해제해도 광고가 계속 노출되나요?
[판매] [포커스클릭] 신규 가입 후 포커스 클릭 광고 집행 중인데 보유한 다른 셀러아이디를 추가 연동 가능한가요?
[판매] [포커스클릭] 대표계정이 무엇인가요?
[판매] [포커스클릭] 대표계정을 다른 셀러 아이디로 변경 가능한가요? 
"[판매] [포커스클릭] 계정 연동 신청 시, 어떤 주기로 반영 되나요?"
[판매] [포커스클릭] 한 개의 광고주 아이디에 여러 사업자번호의 셀러 아이디 연동이 가능한가요? 
[판매] [포커스클릭] 한 개의 광고주 아이디에 셀러 아이디는 몇 개까지 연동이 가능한가요?
[판매] [포커스클릭] 계정 연동을 해제하고 싶은데 어떻게 해야 하나요?
"[판매] 휴면회원으로 변경되었는데, 비밀번호가 기억나지 않습니다. 어떻게 해야하나요?"
[판매] 휴면회원을 해제하려면 어떻게 해야하나요?
[판매] 휴면 회원으로 전환되는 것을 원치 않습니다. 어떤 방법이 있나요?
[판매] 휴면 회원이 되면 달라지는 것이 무엇인가요?
[판매] 휴면 회원이 무엇인가요?
[판매] [포커스클릭] 셀러오피스에서 셀러 회원정보 수정하였습니다. 애드오피스 회원정보도 자동 수정 되나요?
[판매] [포커스클릭] 담당자 퇴사로 애드오피스 아이디 비밀번호 찾기가 불가합니다. 
"[판매] [포커스클릭] 광고 프로모션 관련 메일/SMS를 더 이상 받고 싶지 않은 경우, 어떻게 하나요?"
[판매] [포커스클릭] 사업자 정보(사업자등록번호 또는 사업자명 등)이 변경되었습니다. 회원정보 수정은 어떻게 해야 하나요?
[판매] [포커스클릭] 회원정보를 수정하고 싶습니다. 
"[판매] [포커스클릭] 아이디 또는 비밀번호 분실한 경우, 어떻게 하나요? "
[판매] [포커스클릭] 키워드 추천에 검색했는데 아무 결과도 뜨지 않습니다.
[판매] [포커스클릭] 제외키워드는 몇 개까지 등록 가능한가요?
[판매] [포커스클릭] 추천키워드를 보여주는 기준은 무엇인가요?
[판매] [포커스클릭] 상품 카테고리별로 클릭이 많이 되는 키워드를 모르겠습니다. 
[판매] [포커스클릭] 자동 동륵된 키워드는 어떻게 확인하나요?
[판매] [포커스클릭] 상품을 중복해서 등록 가능한가요?
[판매] [포커스클릭] 상품은 최대 몇 개까지 등록가능한가요?
[판매] [포커스클릭] 특정 시간대에만 광고를 노출하고 싶습니다. 시간 설정도 가능한가요?
[판매] [포커스클릭] 그룹명을 다 다르게 설정해야 하나요?
[판매] [포커스클릭] 그룹 전략을 변경하고 싶습니다. 어디서 할 수 있나요?
[판매] [포커스클릭] 그룹은 몇 개까지 등록가능한가요?
[판매] [포커스클릭] 그룹별로 예산을 다르게 설정할 수 있나요?
"[판매] [포커스클릭] 캠페인 전략을 설정하지 않으면, 계속 노출되는 건가요?"
[판매] [포커스클릭] 캠페인을 특정 날짜에 자동으로 OFF로 설정할 수 있나요?
[판매] [포커스클릭] ID 하나에 등록할 수 있는 캠페인 개수는 몇 개인가요?
