내용
[구매] 애플(Apple) 아이디로 11번가 회원가입 시 나의 이메일 가리기를 선택했는데 가입한 이메일 주소를 확인할 수 있나요.
"[구매] 애플(Apple) 아이디로 이용중인데, 11번가 회원정보는 어떻게 수정하나요."
[구매] 애플(Apple) 아이디로 11번가를 이용할 수 있나요.
[구매] 비밀번호 입력 실패 횟수가 지속적으로 5회 초과되었다고 나오는데 어떻게 하나요.
[구매] 아이핀 인증 시 추가 인증수단을 설정하라고 나옵니다.
"[구매] 아이핀이란, 무엇인가요."
[구매] 사업자도 아이핀으로 가입할 수 있나요.
[구매] 11번가 회원가입은 어떻게 하나요.
[구매] 인증을 하지 않으면 회원가입할 수 없나요.
[구매] 11번가 아이디와 연동된 T아이디를 해제하고 싶어요.
[구매] 11번가 아이디로 로그인 하니까 T아이디로 연결하라고 확인됩니다. 어떻게 해야 하나요.
[구매] T아이디로 11번가를 이용할 수 있나요.
[구매] 회원탈퇴는 어떻게 하나요.
"[구매] 로그인했는데, 재 로그인하라고 나와요."
[구매] 본인인증 회원 전환은 어떻게 하나요.
[구매] 휴면회원 해제는 어떻게 하나요.
[구매] 비밀번호 입력 실패 5회 초과로 로그인이 안 됩니다.
[구매] 인증 SMS가 수신되지 않습니다.
"[구매] 로그인할 때, 보안경고창이 떠요."
[구매] 아이디/비밀번호가 기억나지 않아요.
[구매] 비밀번호 변경은 어떻게 하나요.
[구매] 보안문자 이미지가 보이지 않아요.
[구매] 보안문자는 왜 입력하나요.
"[구매] 로그인할 때, 익스플로러 창이 닫혀요."
[구매] 회원탈퇴가 되지 않습니다. 이유가 무엇인가요.
[구매] 개명했는데 회원정보의 이름을 변경할 수 있나요.
[구매] 회원이 되면 어떤 혜택이 있나요.
[구매] 회원 탈퇴를 하게 되면 어떻게 되나요.
[구매] 외국인도 회원가입을 할 수 있나요.
[구매] 아이디를 여러 개 사용할 수 있나요.
[구매] 탈퇴 후에 재가입할 수 있나요.
[구매] 회원탈퇴 시 개인정보는 언제 삭제되나요.
[구매] 강제탈퇴가 될 수도 있나요.
[구매] 아이디를 변경하고 싶어요.
[구매] 11번가 회원정보 변경은 어떻게 하나요.
[구매][SK pay] 충전한 SK pay 머니를 제 계좌로 환급받을 수 있나요.
"[구매][SK pay] SK pay 결제를 이용할 수 있는 환경(운영체제, 브라우저)이 제한되어 있나요."
[구매][SK pay] SK pay 머니로 결제 후 SK pay 탈퇴 시 환불 받을 수 있나요.
[구매][SK pay] SK pay 머니 연결 계좌를 변경하고 싶어요.
[구매][SK pay] SK pay 머니는 어떻게 이용할 수 있나요.
[구매][SK pay] SK pay 머니란 무엇인가요.
[구매] [카드결제] 안심클릭 서비스란 무엇인가요.
[구매] [카드결제] 안심클릭 등록 시 개인 확인 메시지를 등록하라고 나와요.
[구매] [카드결제] 안심클릭 결제는 어떻게 하나요.
[구매] [카드결제] ISP/페이북 결제 프로그램은 어떻게 설치하나요.
[구매] [카드결제] 안심클릭 창이 열리지 않아요.
[구매] SK pay point 상품권 등록 후 적립내역은 어떻게 확인하나요.
[구매] SK pay point 상품권 사용 후 잔액 인출은 어떻게 하나요.
[구매] SK pay point 상품권은 어떻게 사용하나요.
[구매] SK pay point 상품권은 무엇인가요.
[구매] SK pay point가 무엇인가요.
[구매] SK pay point는 누구나 적립/사용이 가능한가요.
[구매] SK pay point는 어떻게 적립 받을 수 있나요.
[구매] 적립된 SK pay point는 어디에서 확인 가능한가요.
[구매] SK pay point는 어떻게 사용하나요.
[구매] 적립 받은 SK pay point의 유효기간은 언제까지인가요.
[구매] [PAYCO] 어떤 서비스인가요.
[구매] [PAYCO] 결제는 어떻게 하나요.
[구매] [PAYCO] 가입은 어떻게 하나요.
[구매] [PAYCO] 결제 비밀번호가 기억나지 않아요.
[구매] [PAYCO] 서비스 해지는 어떻게 하나요.
[구매] [SK pay] 핀크 등록은 어떻게 하나요.
[구매] [SK pay] SK pay 은행계좌 이체가 무엇인가요.
[구매] [SK pay] 은행계좌 이체 시 잔액이 부족하면 어떻게 되나요
[구매] [SK pay] 은행계좌 이체 한도는 어떻게 되나요.
[구매] [SK pay] 결제방법 선택란에 실시간 계좌이체가 없어요.
[구매] [SK pay] 가입은 어떻게 하나요.
[구매] [SK pay] 어떤 서비스인가요.
[구매] [SK pay] 안전한가요.
[구매] [SK pay] 결제수단 별로 한 가지만 등록 가능한가요.
[구매] [SK pay] 결제 비밀번호가 기억나지 않아요.
[구매] [SK pay] 결제하는 중간에 ARS 인증을 하라는 안내가 왜 나오는 건가요.
[구매] [SK pay] 등록한 카드/계좌/휴대폰/토스/핀크를 분실(탈퇴)했습니다. 어떻게 해야 하나요.
[구매] [SK pay] 결제수단 삭제는 어떻게 해야 하나요.
[구매] [SK pay] SK pay로 구매하기란 무엇인가요.
[구매] [SK pay] SK pay로 구매하기는 진짜 최적가인가요.
[구매] [SK pay] SK pay로 구매하기 이용 시 쿠폰이나 혜택을 변경할 수는 없나요.
[구매] [SK pay] 혜택 적용 상품인데 SK pay로 구매하기로 구매 시 노출되지 않아요.
[구매] [SK pay] 계좌 등록 시 불가한 계좌가 있나요.
[구매] [SK pay] 신용/체크카드 등록은 어떻게 하나요.
[구매] [SK pay] 휴대폰 등록은 어떻게 하나요.
[구매] [SK pay] 토스 계좌 등록은 어떻게 하나요.
[구매] [SK pay] 은행 계좌 등록은 어떻게 하나요.
[구매] [SK pay] 결제는 어떻게 하나요.
[구매] [모바일티머니] 어떻게 충전하나요.
[구매] [모바일티머니] 모바일티머니란 무엇인가요.
[구매] [휴대폰소액결제] 휴대폰소액결제 무엇인가요.
"[구매] [휴대폰소액결제] 결제할 때, 오류가 나요."
[구매] [휴대폰소액결제] 결제는 어떻게 하나요.
[구매] [휴대폰소액결제] 결제 시 월 한도 금액이 있나요.
[구매] [휴대폰소액결제] 결제대행사 연락처를 알고 싶습니다.
[구매] [편의점결제] 어떻게 이용하나요.
[구매] [편의점결제] 신용카드로 결제할 수 있나요.
[구매] [편의점결제] 결제 후에도 입금대기중으로 표시됩니다.
[구매] [무통장입금] 입금 시 거래 불가라고 나와요.
[구매] [무통장입금] 여러 상품 구매 시 한 번에 입금해도 되나요.
[구매] [무통장입금] 주문 후 언제까지 입금해야 하나요.
[구매] [무통장입금] 입금 가능한 은행은 어떻게 되나요.
[구매] [무통장입금] 결제는 어떻게 하나요.
[구매] [무통장입금] 주문자와 다른 이름으로 입금해도 되나요.
[구매] [무통장입금] 가상계좌는 어떻게 확인하나요.
[구매] [무통장입금] 가상계좌 외 일반 고정계좌는 없나요.
[구매] [무통장입금] 입금확인은 어떻게 하나요.
[구매] [무통장입금] 예금주는 어떻게 적나요.
[구매] [무통장입금] 폰뱅킹으로 입금할 수 있나요.
[구매] [무통장입금] 제휴기관 처리 불가라고 나와요.
[구매] [카드결제] 신용카드 결제는 어떻게 하나요.
[구매] [카드결제] ISP/페이북 서비스란 무엇인가요.
[구매] [카드결제] 결제 가능한 카드는 무엇인가요.
[구매] [카드결제] 무이자 할부로 결제하고 싶어요.
[구매] [카드결제] 카드사 포인트로 결제할 수 있나요.
"[구매] [카드결제] ISP 신청 시, 'initialize fail' 라는 메시지가 나와요."
[구매] [카드결제] ISP 이용 시 '인터넷 작동이 중지되었습니다.' 라는 메시지가 나와요.
[구매] [카드결제] 결제 시 오류가 발생됩니다.
