내용
[스마트폰] 모바일에서 OK캐쉬백을 사용할 수 있나요.
[스마트폰] 배송조회는 어떻게 하나요.
[스마트폰] 모바일 상담은 어떻게 접속하나요.
[스마트폰] 11번가를 설치하니 원치 않는 메시지(11톡)가 와요.
[스마트폰] 상품은 어떻게 주문하나요.
[스마트폰] 모바일 11번가는 어떻게 이용하나요.
[스마트폰] 취소/반품/교환내역은 어디서 확인할 수 있나요.
[스마트폰] 상품리뷰는 어디서 작성하나요.
[스마트폰] 모바일에서도 가지고 있는 쿠폰을 확인할 수 있나요.
[스마트폰] 장바구니는 어디서 확인하나요.
[스마트폰] 상품별 카테고리는 어디서 볼 수 있나요.
[스마트폰] 상품은 어디서 검색하나요.
